"","nGene","nUMI","orig.ident","percent.mito","CellType","res.0.6","Batch","Jun_Status"
"Cell_28410",460,651,"Cell",0,"Old","5","Batch2","Low"
"Cell_28510",1115,1945,"Cell",0,"Old","4","Batch2","Low"
"Cell_28610",450,632,"Cell",0,"Old","0","Batch2","High"
"Cell_28710",664,1049,"Cell",0,"Old","0","Batch2","High"
"Cell_28810",575,823,"Cell",0,"Old","5","Batch2","Low"
"Cell_28910",975,1673,"Cell",0,"Old","4","Batch2","Low"
"Cell_29010",1388,2714,"Cell",0,"Old","4","Batch2","Low"
"Cell_29110",846,1283,"Cell",0,"Old","6","Batch2","Low"
"Cell_29210",1103,1986,"Cell",0,"Old","1","Batch2","Low"
"Cell_29310",622,970,"Cell",0,"Old","2","Batch2","Low"
"Cell_29410",1320,2384,"Cell",0,"Old","2","Batch2","Low"
"Cell_29510",690,968,"Cell",0,"Old","5","Batch2","Low"
"Cell_29610",1028,1858,"Cell",0,"Old","0","Batch2","High"
"Cell_29710",598,894,"Cell",0,"Old","5","Batch2","Low"
"Cell_29910",778,1320,"Cell",0,"Old","1","Batch2","Low"
"Cell_30010",1094,1781,"Cell",0,"Old","3","Batch2","Low"
"Cell_30110",705,1203,"Cell",0,"Old","5","Batch2","Low"
"Cell_30210",1533,2938,"Cell",0,"Old","3","Batch2","Low"
"Cell_30310",1025,1610,"Cell",0,"Old","2","Batch2","Low"
"Cell_30410",404,601,"Cell",0,"Old","10","Batch2","Low"
"Cell_30510",1705,3137,"Cell",0,"Old","4","Batch2","Low"
"Cell_30610",487,710,"Cell",0,"Old","8","Batch2","Low"
"Cell_30710",1166,2063,"Cell",0,"Old","7","Batch2","Low"
"Cell_30810",416,619,"Cell",0,"Old","1","Batch2","Low"
"Cell_30910",877,1387,"Cell",0,"Old","0","Batch2","High"
"Cell_31010",520,785,"Cell",0,"Old","1","Batch2","Low"
"Cell_31110",789,1396,"Cell",0,"Old","1","Batch2","Low"
"Cell_31210",454,624,"Cell",0,"Old","5","Batch2","Low"
"Cell_31310",1403,2569,"Cell",0,"Old","4","Batch2","Low"
"Cell_31410",439,636,"Cell",0,"Old","5","Batch2","Low"
"Cell_31510",911,1971,"Cell",0,"Old","2","Batch2","Low"
"Cell_3168",448,649,"Cell",0,"Old","5","Batch2","Low"
"Cell_3171",524,766,"Cell",0,"Old","5","Batch2","Low"
"Cell_3181",785,1129,"Cell",0,"Old","1","Batch2","Low"
"Cell_3191",1258,2329,"Cell",0,"Old","3","Batch2","Low"
"Cell_3201",2209,5285,"Cell",0,"Old","6","Batch2","Low"
"Cell_3211",459,670,"Cell",0,"Old","5","Batch2","Low"
"Cell_3221",642,956,"Cell",0,"Old","7","Batch2","Low"
"Cell_3231",459,697,"Cell",0,"Old","0","Batch2","High"
"Cell_3241",419,626,"Cell",0,"Old","0","Batch2","High"
"Cell_3251",633,1032,"Cell",0,"Old","0","Batch2","High"
"Cell_3261",952,1597,"Cell",0,"Old","3","Batch2","Low"
"Cell_3271",798,1299,"Cell",0,"Old","1","Batch2","Low"
"Cell_3281",1090,1823,"Cell",0,"Old","3","Batch2","Low"
"Cell_3291",396,767,"Cell",0,"Old","1","Batch2","Low"
"Cell_3301",454,652,"Cell",0,"Old","5","Batch2","Low"
"Cell_3311",1692,3838,"Cell",0,"Old","5","Batch2","Low"
"Cell_3321",638,972,"Cell",0,"Old","0","Batch2","High"
"Cell_3331",709,1063,"Cell",0,"Old","0","Batch2","High"
"Cell_3341",836,1381,"Cell",0,"Old","4","Batch2","Low"
"Cell_3351",1128,2350,"Cell",0,"Old","5","Batch2","Low"
"Cell_3361",476,765,"Cell",0,"Old","1","Batch2","Low"
"Cell_3371",588,877,"Cell",0,"Old","0","Batch2","High"
"Cell_3381",483,735,"Cell",0,"Old","4","Batch2","Low"
"Cell_3391",467,723,"Cell",0,"Old","0","Batch2","High"
"Cell_3401",771,1187,"Cell",0,"Old","0","Batch2","High"
"Cell_3411",555,782,"Cell",0,"Old","5","Batch2","Low"
"Cell_3421",458,751,"Cell",0,"Old","2","Batch2","Low"
"Cell_3431",1022,1908,"Cell",0,"Old","2","Batch2","Low"
"Cell_3441",456,626,"Cell",0,"Old","6","Batch2","Low"
"Cell_3451",1000,1943,"Cell",0,"Old","5","Batch2","Low"
"Cell_3461",591,885,"Cell",0,"Old","2","Batch2","Low"
"Cell_3481",1325,2648,"Cell",0,"Old","2","Batch2","Low"
"Cell_3491",542,767,"Cell",0,"Old","7","Batch2","Low"
"Cell_3501",1369,2673,"Cell",0,"Old","4","Batch2","Low"
"Cell_3511",459,702,"Cell",0,"Old","7","Batch2","Low"
"Cell_3521",681,999,"Cell",0,"Old","0","Batch2","High"
"Cell_3531",862,1481,"Cell",0,"Old","0","Batch2","High"
"Cell_3541",418,612,"Cell",0,"Old","5","Batch2","Low"
"Cell_3551",437,681,"Cell",0,"Old","7","Batch2","Low"
"Cell_3561",470,660,"Cell",0,"Old","0","Batch2","High"
"Cell_3581",659,1097,"Cell",0,"Old","5","Batch2","Low"
"Cell_3591",417,628,"Cell",0,"Old","4","Batch2","Low"
"Cell_3601",709,1071,"Cell",0,"Old","0","Batch2","High"
"Cell_3611",1187,2148,"Cell",0,"Old","1","Batch2","Low"
"Cell_3621",408,599,"Cell",0,"Old","5","Batch2","Low"
"Cell_3631",839,1260,"Cell",0,"Old","3","Batch2","Low"
"Cell_3641",753,1158,"Cell",0,"Old","0","Batch2","High"
"Cell_3651",1037,1755,"Cell",0,"Old","0","Batch2","High"
"Cell_3661",433,667,"Cell",0,"Old","0","Batch2","High"
"Cell_3671",626,1001,"Cell",0,"Old","7","Batch2","Low"
"Cell_3681",916,1640,"Cell",0,"Old","1","Batch2","Low"
"Cell_3701",525,773,"Cell",0,"Old","2","Batch2","Low"
"Cell_3711",758,1256,"Cell",0,"Old","0","Batch2","High"
"Cell_3721",672,1084,"Cell",0,"Old","5","Batch2","Low"
"Cell_3731",941,1710,"Cell",0,"Old","5","Batch2","Low"
"Cell_3741",420,605,"Cell",0,"Old","5","Batch2","Low"
"Cell_3751",792,1434,"Cell",0,"Old","5","Batch2","Low"
"Cell_3761",1760,3851,"Cell",0,"Old","6","Batch2","Low"
"Cell_3771",989,1538,"Cell",0,"Old","3","Batch2","Low"
"Cell_3781",1546,3165,"Cell",0,"Old","4","Batch2","Low"
"Cell_3791",1131,1906,"Cell",0,"Old","0","Batch2","High"
"Cell_3801",584,975,"Cell",0,"Old","5","Batch2","Low"
"Cell_3811",903,1339,"Cell",0,"Old","3","Batch2","Low"
"Cell_3821",428,954,"Cell",0,"Old","7","Batch2","Low"
"Cell_3831",436,604,"Cell",0,"Old","3","Batch2","Low"
"Cell_3841",852,1267,"Cell",0,"Old","1","Batch2","Low"
"Cell_3851",402,680,"Cell",0,"Old","7","Batch2","Low"
"Cell_3861",885,1496,"Cell",0,"Old","2","Batch2","Low"
"Cell_3871",528,787,"Cell",0,"Old","6","Batch2","Low"
"Cell_3891",639,1042,"Cell",0,"Old","8","Batch2","Low"
"Cell_3901",1328,2644,"Cell",0,"Old","5","Batch2","Low"
"Cell_3911",1745,4137,"Cell",0,"Old","5","Batch2","Low"
"Cell_3921",572,915,"Cell",0,"Old","0","Batch2","High"
"Cell_3931",390,609,"Cell",0,"Old","8","Batch2","Low"
"Cell_3941",1556,3233,"Cell",0,"Old","3","Batch2","Low"
"Cell_3951",786,1406,"Cell",0,"Old","7","Batch2","Low"
"Cell_3961",466,697,"Cell",0,"Old","5","Batch2","Low"
"Cell_3971",938,1619,"Cell",0,"Old","2","Batch2","Low"
"Cell_3981",1150,2126,"Cell",0,"Old","2","Batch2","Low"
"Cell_3991",482,694,"Cell",0,"Old","4","Batch2","Low"
"Cell_4001",432,600,"Cell",0,"Old","1","Batch2","Low"
"Cell_4011",458,649,"Cell",0,"Old","3","Batch2","Low"
"Cell_4021",1219,2854,"Cell",0,"Old","10","Batch2","Low"
"Cell_4031",651,1030,"Cell",0,"Old","6","Batch2","Low"
"Cell_4041",450,626,"Cell",0,"Old","2","Batch2","Low"
"Cell_4051",677,1058,"Cell",0,"Old","0","Batch2","High"
"Cell_4061",1403,2672,"Cell",0,"Old","4","Batch2","Low"
"Cell_4071",333,629,"Cell",0,"Old","10","Batch2","Low"
"Cell_4081",1659,3504,"Cell",0,"Old","0","Batch2","High"
"Cell_4091",497,778,"Cell",0,"Old","3","Batch2","Low"
"Cell_4101",491,756,"Cell",0,"Old","0","Batch2","High"
"Cell_4111",644,943,"Cell",0,"Old","4","Batch2","Low"
"Cell_4121",750,1449,"Cell",0,"Old","5","Batch2","Low"
"Cell_4131",699,1482,"Cell",0,"Old","10","Batch2","Low"
"Cell_4141",1147,2077,"Cell",0,"Old","3","Batch2","Low"
"Cell_4151",439,626,"Cell",0,"Old","4","Batch2","Low"
"Cell_4161",485,678,"Cell",0,"Old","4","Batch2","Low"
"Cell_4171",677,1045,"Cell",0,"Old","2","Batch2","Low"
"Cell_4181",445,631,"Cell",0,"Old","3","Batch2","Low"
"Cell_4191",610,988,"Cell",0,"Old","0","Batch2","High"
"Cell_4211",806,1190,"Cell",0,"Old","0","Batch2","High"
"Cell_4221",547,783,"Cell",0,"Old","5","Batch2","Low"
"Cell_4231",557,777,"Cell",0,"Old","0","Batch2","High"
"Cell_4241",747,1176,"Cell",0,"Old","5","Batch2","Low"
"Cell_4251",1446,2663,"Cell",0,"Old","6","Batch2","Low"
"Cell_4261",1754,3739,"Cell",0,"Old","7","Batch2","Low"
"Cell_4271",736,1175,"Cell",0,"Old","1","Batch2","Low"
"Cell_4281",870,1523,"Cell",0,"Old","8","Batch2","Low"
"Cell_4291",659,1040,"Cell",0,"Old","5","Batch2","Low"
"Cell_4301",921,1473,"Cell",0,"Old","4","Batch2","Low"
"Cell_4311",794,1226,"Cell",0,"Old","2","Batch2","Low"
"Cell_4321",541,760,"Cell",0,"Old","0","Batch2","High"
"Cell_4331",463,671,"Cell",0,"Old","4","Batch2","Low"
"Cell_4341",1289,2236,"Cell",0,"Old","3","Batch2","Low"
"Cell_4351",1126,2031,"Cell",0,"Old","4","Batch2","Low"
"Cell_4361",634,953,"Cell",0,"Old","5","Batch2","Low"
"Cell_4371",713,1177,"Cell",0,"Old","3","Batch2","Low"
"Cell_4381",715,1230,"Cell",0,"Old","4","Batch2","Low"
"Cell_4391",1366,2476,"Cell",0,"Old","0","Batch2","High"
"Cell_4401",1009,1615,"Cell",0,"Old","2","Batch2","Low"
"Cell_4411",1011,1741,"Cell",0,"Old","5","Batch2","Low"
"Cell_4421",419,620,"Cell",0,"Old","4","Batch2","Low"
"Cell_4431",879,1402,"Cell",0,"Old","3","Batch2","Low"
"Cell_4441",994,1579,"Cell",0,"Old","4","Batch2","Low"
"Cell_4451",810,1352,"Cell",0,"Old","1","Batch2","Low"
"Cell_4461",743,1076,"Cell",0,"Old","3","Batch2","Low"
"Cell_4471",666,993,"Cell",0,"Old","1","Batch2","Low"
"Cell_4481",450,632,"Cell",0,"Old","0","Batch2","High"
"Cell_4491",766,1189,"Cell",0,"Old","7","Batch2","Low"
"Cell_4501",1397,2467,"Cell",0,"Old","3","Batch2","Low"
"Cell_4511",824,1248,"Cell",0,"Old","4","Batch2","Low"
"Cell_4521",769,1229,"Cell",0,"Old","4","Batch2","Low"
"Cell_4531",824,1372,"Cell",0,"Old","1","Batch2","Low"
"Cell_4541",642,1129,"Cell",0,"Old","0","Batch2","High"
"Cell_4551",981,1695,"Cell",0,"Old","2","Batch2","Low"
"Cell_4561",1969,4304,"Cell",0,"Old","3","Batch2","Low"
"Cell_4571",990,1631,"Cell",0,"Old","1","Batch2","Low"
"Cell_4581",1418,3239,"Cell",0,"Old","10","Batch2","Low"
"Cell_4591",549,795,"Cell",0,"Old","1","Batch2","Low"
"Cell_4601",1527,3406,"Cell",0,"Old","0","Batch2","High"
"Cell_4611",812,1477,"Cell",0,"Old","2","Batch2","Low"
"Cell_4621",502,741,"Cell",0,"Old","4","Batch2","Low"
"Cell_4631",699,1028,"Cell",0,"Old","2","Batch2","Low"
"Cell_4641",655,925,"Cell",0,"Old","2","Batch2","Low"
"Cell_4651",483,676,"Cell",0,"Old","5","Batch2","Low"
"Cell_4661",523,868,"Cell",0,"Old","5","Batch2","Low"
"Cell_4671",1041,1761,"Cell",0,"Old","2","Batch2","Low"
"Cell_4681",1677,3297,"Cell",0,"Old","8","Batch2","Low"
"Cell_4691",1137,2251,"Cell",0,"Old","0","Batch2","High"
"Cell_4701",1132,1971,"Cell",0,"Old","3","Batch2","Low"
"Cell_4711",758,1198,"Cell",0,"Old","2","Batch2","Low"
"Cell_4721",1209,2217,"Cell",0,"Old","3","Batch2","Low"
"Cell_4731",631,1001,"Cell",0,"Old","2","Batch2","Low"
"Cell_4741",424,608,"Cell",0,"Old","2","Batch2","Low"
"Cell_4751",483,734,"Cell",0,"Old","5","Batch2","Low"
"Cell_4761",2073,5316,"Cell",0,"Old","7","Batch2","Low"
"Cell_4771",1228,2181,"Cell",0,"Old","2","Batch2","Low"
"Cell_4781",334,777,"Cell",0,"Old","6","Batch2","Low"
"Cell_4791",863,1374,"Cell",0,"Old","0","Batch2","High"
"Cell_4801",988,1750,"Cell",0,"Old","2","Batch2","Low"
"Cell_4811",817,1421,"Cell",0,"Old","2","Batch2","Low"
"Cell_4821",457,670,"Cell",0,"Old","4","Batch2","Low"
"Cell_4831",1245,2467,"Cell",0,"Old","4","Batch2","Low"
"Cell_4841",949,1550,"Cell",0,"Old","2","Batch2","Low"
"Cell_4851",796,1284,"Cell",0,"Old","2","Batch2","Low"
"Cell_4861",1117,2162,"Cell",0,"Old","2","Batch2","Low"
"Cell_4871",1445,2658,"Cell",0,"Old","3","Batch2","Low"
"Cell_4881",1088,1885,"Cell",0,"Old","0","Batch2","High"
"Cell_4901",458,661,"Cell",0,"Old","4","Batch2","Low"
"Cell_4921",651,1053,"Cell",0,"Old","1","Batch2","Low"
"Cell_4931",1114,1810,"Cell",0,"Old","4","Batch2","Low"
"Cell_4941",814,1314,"Cell",0,"Old","3","Batch2","Low"
"Cell_4951",1019,1785,"Cell",0,"Old","0","Batch2","High"
"Cell_4961",1120,1826,"Cell",0,"Old","1","Batch2","Low"
"Cell_4971",495,736,"Cell",0,"Old","2","Batch2","Low"
"Cell_4981",1441,2955,"Cell",0,"Old","8","Batch2","Low"
"Cell_4991",435,689,"Cell",0,"Old","1","Batch2","Low"
"Cell_5001",977,1603,"Cell",0,"Old","3","Batch2","Low"
"Cell_5011",455,607,"Cell",0,"Old","4","Batch2","Low"
"Cell_5021",427,615,"Cell",0,"Old","5","Batch2","Low"
"Cell_5031",1418,2519,"Cell",0,"Old","4","Batch2","Low"
"Cell_5041",691,1146,"Cell",0,"Old","7","Batch2","Low"
"Cell_5051",479,717,"Cell",0,"Old","8","Batch2","Low"
"Cell_5061",1086,2010,"Cell",0,"Old","0","Batch2","High"
"Cell_5071",875,1657,"Cell",0,"Old","4","Batch2","Low"
"Cell_5081",875,1519,"Cell",0,"Old","2","Batch2","Low"
"Cell_5091",1076,1877,"Cell",0,"Old","4","Batch2","Low"
"Cell_5101",619,893,"Cell",0,"Old","5","Batch2","Low"
"Cell_5111",796,1285,"Cell",0,"Old","0","Batch2","High"
"Cell_5121",963,1694,"Cell",0,"Old","5","Batch2","Low"
"Cell_5131",1192,2215,"Cell",0,"Old","1","Batch2","Low"
"Cell_5141",1090,1891,"Cell",0,"Old","1","Batch2","Low"
"Cell_5151",457,687,"Cell",0,"Old","5","Batch2","Low"
"Cell_5161",500,712,"Cell",0,"Old","3","Batch2","Low"
"Cell_5171",630,1015,"Cell",0,"Old","5","Batch2","Low"
"Cell_5181",981,1871,"Cell",0,"Old","0","Batch2","High"
"Cell_5191",414,662,"Cell",0,"Old","7","Batch2","Low"
"Cell_5201",1350,2383,"Cell",0,"Old","4","Batch2","Low"
"Cell_5211",614,914,"Cell",0,"Old","0","Batch2","High"
"Cell_5221",634,972,"Cell",0,"Old","6","Batch2","Low"
"Cell_5231",509,694,"Cell",0,"Old","2","Batch2","Low"
"Cell_5241",897,1543,"Cell",0,"Old","2","Batch2","Low"
"Cell_5261",657,1078,"Cell",0,"Old","1","Batch2","Low"
"Cell_5271",540,813,"Cell",0,"Old","2","Batch2","Low"
"Cell_5281",477,674,"Cell",0,"Old","1","Batch2","Low"
"Cell_5291",540,759,"Cell",0,"Old","4","Batch2","Low"
"Cell_5301",692,1123,"Cell",0,"Old","5","Batch2","Low"
"Cell_5311",2102,5655,"Cell",0,"Old","5","Batch2","Low"
"Cell_5321",811,1264,"Cell",0,"Old","0","Batch2","High"
"Cell_5331",2094,4628,"Cell",0,"Old","4","Batch2","Low"
"Cell_5341",1969,4523,"Cell",0,"Old","0","Batch2","High"
"Cell_5351",491,763,"Cell",0,"Old","5","Batch2","Low"
"Cell_5361",485,789,"Cell",0,"Old","5","Batch2","Low"
"Cell_5371",593,814,"Cell",0,"Old","6","Batch2","Low"
"Cell_5381",1134,1981,"Cell",0,"Old","3","Batch2","Low"
"Cell_5401",1077,1815,"Cell",0,"Old","4","Batch2","Low"
"Cell_5411",561,917,"Cell",0,"Old","7","Batch2","Low"
"Cell_5421",1295,2277,"Cell",0,"Old","4","Batch2","Low"
"Cell_5431",630,982,"Cell",0,"Old","0","Batch2","High"
"Cell_5441",779,1096,"Cell",0,"Old","2","Batch2","Low"
"Cell_5451",776,1305,"Cell",0,"Old","5","Batch2","Low"
"Cell_5461",473,685,"Cell",0,"Old","1","Batch2","Low"
"Cell_5471",443,672,"Cell",0,"Old","5","Batch2","Low"
"Cell_5481",1456,3204,"Cell",0,"Old","8","Batch2","Low"
"Cell_5491",622,1123,"Cell",0,"Old","5","Batch2","Low"
"Cell_5501",773,1377,"Cell",0,"Old","5","Batch2","Low"
"Cell_5511",727,1113,"Cell",0,"Old","4","Batch2","Low"
"Cell_5521",1330,2353,"Cell",0,"Old","4","Batch2","Low"
"Cell_5531",1060,1755,"Cell",0,"Old","2","Batch2","Low"
"Cell_5541",620,956,"Cell",0,"Old","2","Batch2","Low"
"Cell_5551",1144,1874,"Cell",0,"Old","2","Batch2","Low"
"Cell_5561",555,862,"Cell",0,"Old","5","Batch2","Low"
"Cell_5571",543,779,"Cell",0,"Old","4","Batch2","Low"
"Cell_5581",771,1101,"Cell",0,"Old","2","Batch2","Low"
"Cell_5591",1057,1867,"Cell",0,"Old","3","Batch2","Low"
"Cell_5601",764,1201,"Cell",0,"Old","0","Batch2","High"
"Cell_5611",1737,3688,"Cell",0,"Old","4","Batch2","Low"
"Cell_5621",528,736,"Cell",0,"Old","7","Batch2","Low"
"Cell_5631",1034,1810,"Cell",0,"Old","4","Batch2","Low"
"Cell_5641",530,815,"Cell",0,"Old","2","Batch2","Low"
"Cell_5651",502,741,"Cell",0,"Old","5","Batch2","Low"
"Cell_5661",488,709,"Cell",0,"Old","5","Batch2","Low"
"Cell_5671",422,610,"Cell",0,"Old","5","Batch2","Low"
"Cell_5681",506,888,"Cell",0,"Old","7","Batch2","Low"
"Cell_5691",495,742,"Cell",0,"Old","2","Batch2","Low"
"Cell_5701",1298,2765,"Cell",0,"Old","5","Batch2","Low"
"Cell_5711",414,601,"Cell",0,"Old","8","Batch2","Low"
"Cell_5721",898,1525,"Cell",0,"Old","8","Batch2","Low"
"Cell_5731",504,762,"Cell",0,"Old","10","Batch2","Low"
"Cell_5741",492,762,"Cell",0,"Old","5","Batch2","Low"
"Cell_5751",1059,1890,"Cell",0,"Old","8","Batch2","Low"
"Cell_5761",771,1238,"Cell",0,"Old","1","Batch2","Low"
"Cell_5771",428,655,"Cell",0,"Old","5","Batch2","Low"
"Cell_5781",950,1499,"Cell",0,"Old","4","Batch2","Low"
"Cell_5791",817,1293,"Cell",0,"Old","7","Batch2","Low"
"Cell_5801",524,718,"Cell",0,"Old","6","Batch2","Low"
"Cell_5811",208,672,"Cell",0,"Old","6","Batch2","Low"
"Cell_5821",1036,1575,"Cell",0,"Old","3","Batch2","Low"
"Cell_5831",1012,1860,"Cell",0,"Old","3","Batch2","Low"
"Cell_5851",416,1158,"Cell",0,"Old","6","Batch2","Low"
"Cell_5861",1353,2738,"Cell",0,"Old","3","Batch2","Low"
"Cell_5871",1475,2844,"Cell",0,"Old","2","Batch2","Low"
"Cell_5881",420,720,"Cell",0,"Old","1","Batch2","Low"
"Cell_5891",740,1134,"Cell",0,"Old","2","Batch2","Low"
"Cell_5901",504,725,"Cell",0,"Old","7","Batch2","Low"
"Cell_5911",1079,1711,"Cell",0,"Old","1","Batch2","Low"
"Cell_5921",567,841,"Cell",0,"Old","0","Batch2","High"
"Cell_5931",454,713,"Cell",0,"Old","4","Batch2","Low"
"Cell_5951",2092,5139,"Cell",0,"Old","5","Batch2","Low"
"Cell_5961",795,1416,"Cell",0,"Old","3","Batch2","Low"
"Cell_5971",1527,3300,"Cell",0,"Old","1","Batch2","Low"
"Cell_5981",617,837,"Cell",0,"Old","4","Batch2","Low"
"Cell_5991",943,1764,"Cell",0,"Old","4","Batch2","Low"
"Cell_6001",936,1605,"Cell",0,"Old","0","Batch2","High"
"Cell_6011",987,1565,"Cell",0,"Old","7","Batch2","Low"
"Cell_6021",470,827,"Cell",0,"Old","5","Batch2","Low"
"Cell_6031",1603,3150,"Cell",0,"Old","4","Batch2","Low"
"Cell_6041",1033,1823,"Cell",0,"Old","0","Batch2","High"
"Cell_6051",1169,2142,"Cell",0,"Old","4","Batch2","Low"
"Cell_6061",1044,1854,"Cell",0,"Old","1","Batch2","Low"
"Cell_6071",467,786,"Cell",0,"Old","5","Batch2","Low"
"Cell_6081",1526,3094,"Cell",0,"Old","4","Batch2","Low"
"Cell_6091",556,849,"Cell",0,"Old","5","Batch2","Low"
"Cell_6101",457,680,"Cell",0,"Old","8","Batch2","Low"
"Cell_6111",442,686,"Cell",0,"Old","0","Batch2","High"
"Cell_6121",617,874,"Cell",0,"Old","2","Batch2","Low"
"Cell_6131",1435,2667,"Cell",0,"Old","0","Batch2","High"
"Cell_6141",995,1699,"Cell",0,"Old","4","Batch2","Low"
"Cell_6151",609,1086,"Cell",0,"Old","7","Batch2","Low"
"Cell_6161",1481,3189,"Cell",0,"Old","5","Batch2","Low"
"Cell_6171",344,796,"Cell",0,"Old","6","Batch2","Low"
"Cell_6181",1314,2323,"Cell",0,"Old","0","Batch2","High"
"Cell_6191",644,1199,"Cell",0,"Old","7","Batch2","Low"
"Cell_6201",759,1298,"Cell",0,"Old","0","Batch2","High"
"Cell_6211",685,1031,"Cell",0,"Old","4","Batch2","Low"
"Cell_6221",1097,2027,"Cell",0,"Old","1","Batch2","Low"
"Cell_6231",1452,3015,"Cell",0,"Old","5","Batch2","Low"
"Cell_6241",1939,4169,"Cell",0,"Old","3","Batch2","Low"
"Cell_6251",1195,2078,"Cell",0,"Old","3","Batch2","Low"
"Cell_6261",717,1164,"Cell",0,"Old","9","Batch2","Low"
"Cell_6271",696,1177,"Cell",0,"Old","4","Batch2","Low"
"Cell_6281",1411,3023,"Cell",0,"Old","4","Batch2","Low"
"Cell_6291",483,648,"Cell",0,"Old","3","Batch2","Low"
"Cell_6301",561,874,"Cell",0,"Old","4","Batch2","Low"
"Cell_6321",1725,3475,"Cell",0,"Old","3","Batch2","Low"
"Cell_6331",842,1593,"Cell",0,"Old","5","Batch2","Low"
"Cell_6341",2307,5439,"Cell",0,"Old","4","Batch2","Low"
"Cell_6351",925,1688,"Cell",0,"Old","5","Batch2","Low"
"Cell_6361",1387,2644,"Cell",0,"Old","7","Batch2","Low"
"Cell_6371",1286,2520,"Cell",0,"Old","4","Batch2","Low"
"Cell_6381",887,1474,"Cell",0,"Old","3","Batch2","Low"
"Cell_6391",543,725,"Cell",0,"Old","0","Batch2","High"
"Cell_6401",1832,3462,"Cell",0,"Old","4","Batch2","Low"
"Cell_6411",840,1233,"Cell",0,"Old","3","Batch2","Low"
"Cell_6421",683,3994,"Cell",0,"Old","6","Batch2","Low"
"Cell_6431",757,1172,"Cell",0,"Old","0","Batch2","High"
"Cell_6441",483,782,"Cell",0,"Old","5","Batch2","Low"
"Cell_6451",991,1730,"Cell",0,"Old","4","Batch2","Low"
"Cell_6461",414,629,"Cell",0,"Old","7","Batch2","Low"
"Cell_6481",1137,2352,"Cell",0,"Old","5","Batch2","Low"
"Cell_6491",617,1061,"Cell",0,"Old","5","Batch2","Low"
"Cell_6501",687,1076,"Cell",0,"Old","2","Batch2","Low"
"Cell_6511",493,680,"Cell",0,"Old","5","Batch2","Low"
"Cell_6521",464,662,"Cell",0,"Old","2","Batch2","Low"
"Cell_6531",617,926,"Cell",0,"Old","2","Batch2","Low"
"Cell_6541",909,1668,"Cell",0,"Old","0","Batch2","High"
"Cell_6551",638,1198,"Cell",0,"Old","1","Batch2","Low"
"Cell_6561",894,1414,"Cell",0,"Old","3","Batch2","Low"
"Cell_6571",1943,4395,"Cell",0,"Old","6","Batch2","Low"
"Cell_6581",597,923,"Cell",0,"Old","4","Batch2","Low"
"Cell_6591",546,745,"Cell",0,"Old","1","Batch2","Low"
"Cell_6601",607,964,"Cell",0,"Old","7","Batch2","Low"
"Cell_6611",662,1082,"Cell",0,"Old","4","Batch2","Low"
"Cell_6621",960,1504,"Cell",0,"Old","4","Batch2","Low"
"Cell_6631",440,714,"Cell",0,"Old","5","Batch2","Low"
"Cell_6641",875,1506,"Cell",0,"Old","5","Batch2","Low"
"Cell_6651",694,1168,"Cell",0,"Old","0","Batch2","High"
"Cell_6661",827,1355,"Cell",0,"Old","5","Batch2","Low"
"Cell_6671",1492,2781,"Cell",0,"Old","0","Batch2","High"
"Cell_6681",1589,3239,"Cell",0,"Old","3","Batch2","Low"
"Cell_6691",944,1656,"Cell",0,"Old","1","Batch2","Low"
"Cell_6701",914,1454,"Cell",0,"Old","4","Batch2","Low"
"Cell_6711",541,736,"Cell",0,"Old","5","Batch2","Low"
"Cell_6721",462,681,"Cell",0,"Old","5","Batch2","Low"
"Cell_6731",1035,1769,"Cell",0,"Old","3","Batch2","Low"
"Cell_6741",1440,2645,"Cell",0,"Old","3","Batch2","Low"
"Cell_6751",442,635,"Cell",0,"Old","5","Batch2","Low"
"Cell_6761",807,1318,"Cell",0,"Old","7","Batch2","Low"
"Cell_6771",729,1248,"Cell",0,"Old","9","Batch2","Low"
"Cell_6781",786,1231,"Cell",0,"Old","3","Batch2","Low"
"Cell_6791",423,604,"Cell",0,"Old","0","Batch2","High"
"Cell_6801",395,616,"Cell",0,"Old","5","Batch2","Low"
"Cell_6811",714,1161,"Cell",0,"Old","2","Batch2","Low"
"Cell_6821",1515,4593,"Cell",0,"Old","10","Batch2","Low"
"Cell_6831",550,850,"Cell",0,"Old","5","Batch2","Low"
"Cell_6841",517,736,"Cell",0,"Old","2","Batch2","Low"
"Cell_6851",820,1439,"Cell",0,"Old","5","Batch2","Low"
"Cell_6861",401,703,"Cell",0,"Old","7","Batch2","Low"
"Cell_6871",459,633,"Cell",0,"Old","4","Batch2","Low"
"Cell_6881",976,1699,"Cell",0,"Old","4","Batch2","Low"
"Cell_6891",655,1032,"Cell",0,"Old","1","Batch2","Low"
"Cell_6901",435,708,"Cell",0,"Old","5","Batch2","Low"
"Cell_6911",465,666,"Cell",0,"Old","3","Batch2","Low"
"Cell_6921",796,1274,"Cell",0,"Old","2","Batch2","Low"
"Cell_6931",630,936,"Cell",0,"Old","3","Batch2","Low"
"Cell_6941",633,1069,"Cell",0,"Old","5","Batch2","Low"
"Cell_6951",659,1156,"Cell",0,"Old","2","Batch2","Low"
"Cell_6961",548,788,"Cell",0,"Old","6","Batch2","Low"
"Cell_6971",464,695,"Cell",0,"Old","5","Batch2","Low"
"Cell_6981",544,816,"Cell",0,"Old","0","Batch2","High"
