"","OK1","OK1_2","OK3","OK4","YK1","YK3","YK4"
"ENSMUSG00000002409",960,865,1381,844,931,1045,1046
"ENSMUSG00000002413",2060,1926,2108,2113,1873,1658,2489
"ENSMUSG00000002416",419,379,536,727,632,748,668
"ENSMUSG00000002428",1795,1647,1593,1191,2763,1097,2008
"ENSMUSG00000002455",6225,5915,5377,5712,4260,4263,4531
"ENSMUSG00000002458",1090,1039,1083,1042,1209,1152,1008
"ENSMUSG00000002459",0,0,0,0,0,0,0
"ENSMUSG00000002475",867,774,734,1516,945,1045,1256
"ENSMUSG00000002477",391,349,322,414,468,344,309
"ENSMUSG00000002486",315,269,578,748,643,499,1044
"ENSMUSG00000002489",65,80,160,358,190,260,276
"ENSMUSG00000002496",6228,5705,4833,5446,5093,4417,4744
"ENSMUSG00000002500",0,0,1,18,0,0,0
"ENSMUSG00000002504",65115,60256,61614,58412,69613,61051,53823
"ENSMUSG00000002524",12407,10914,11578,12676,13841,11354,11945
"ENSMUSG00000002546",2669,2434,2838,2714,3914,2437,3972
"ENSMUSG00000002550",964,943,1409,1456,1093,1195,1232
"ENSMUSG00000002565",12311,11418,15178,24520,28115,25838,21499
"ENSMUSG00000002578",188,182,143,366,8,173,342
"ENSMUSG00000002580",442,398,462,630,684,545,560
"ENSMUSG00000002588",14,12,0,0,0,0,0
"ENSMUSG00000002602",1267,1210,1025,2411,2749,2413,3259
"ENSMUSG00000002603",3988,3794,2817,2694,2281,2365,3094
"ENSMUSG00000002608",3831,3581,2627,2880,2830,2713,3342
