"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Nucks1",0.062704149682094,-0.316377034807854,0.117,0.174,1
"Kctd12b",0.0633181679664348,0.250956553563086,0.178,0.109,1
"Pcmtd2",0.0643925811563049,0.256261074592266,0.121,0.065,1
"Il4ra",0.0652382407867665,-0.288812547034936,0.07,0.116,1
"Ankrd12",0.0657134241812326,0.25311794537955,0.19,0.123,1
"Hcfc1r1",0.0665811853593722,-0.382122553484314,0.184,0.239,1
"Bcl2l1",0.0666385695644632,-0.365661210252848,0.121,0.174,1
"Gm8730",0.0677089677987803,-0.271403686594643,0.301,0.37,1
"Fmo1",0.0695483904125334,-0.28522632999449,0.184,0.254,1
"Dynll2",0.073649239856203,-0.333674440375198,0.072,0.116,1
"Tmem255b",0.0776017495676133,0.289378238007345,0.117,0.065,1
"Pxdn",0.0777229130470709,-0.394436695401931,0.074,0.116,1
"Uba52",0.0824617195554497,-0.41635992794368,0.211,0.254,1
"Mitd1",0.0827578454569301,-0.28569695975318,0.072,0.116,1
"Foxn3",0.0843196336559348,-0.338683445417343,0.131,0.181,1
"Nosip",0.0862306819576262,-0.282507037129544,0.086,0.13,1
"Myh9",0.0867619325838632,-0.35336249121494,0.164,0.217,1
"Rfc2",0.0870433410923604,-0.284825232098273,0.074,0.116,1
"Efnb1",0.0874473973152737,-0.31892512184759,0.276,0.333,1
"Card19",0.0908858127902526,-0.275909851952017,0.123,0.174,1
"Npr1",0.0925951758706039,-0.25113433665094,0.121,0.174,1
"Cnep1r1",0.0942533632295476,-0.272720223987814,0.074,0.116,1
"Dnajb14",0.09497882173632,-0.278284273518762,0.061,0.101,1
"Mecom",0.0986703888989246,-0.361850561682261,0.258,0.297,1
"Purb",0.101207093565287,-0.336025901592838,0.094,0.138,1
"Clcc1",0.102023802100793,-0.371808644902871,0.088,0.13,1
"Map4k3",0.102132299040114,-0.367632201281912,0.088,0.13,1
"Gltscr2",0.103631917198713,-0.260398134913516,0.489,0.514,1
"Gm10073",0.104312456628816,-0.344860976564886,0.252,0.29,1
"Pam",0.105207664343939,-0.36723459163267,0.088,0.13,1
"Pnpla2",0.108341494767478,-0.255602951806054,0.172,0.225,1
"Rab28",0.108811850137947,-0.279339643629174,0.088,0.13,1
"Cdc42se2",0.108859078027521,-0.252603286894492,0.119,0.167,1
"Hrct1",0.111280811839064,-0.32370120756131,0.166,0.217,1
"Mif",0.11628936797686,-0.345668281966629,0.247,0.29,1
"Sncg",0.125921258736252,-0.28493499706843,0.143,0.188,1
"G3bp2",0.127254295947978,-0.290561664825308,0.162,0.21,1
"Taf7",0.129739671229492,-0.263574580954676,0.117,0.159,1
"Plscr2",0.134456758342025,-0.272072633892276,0.29,0.333,1
"Unc45b",0.14362934937785,-0.306305466626894,0.421,0.442,1
"Dbnl",0.148580817212014,-0.264471718867539,0.135,0.181,1
"Polr2e",0.158225996790759,-0.280602908201752,0.28,0.312,1
"Cds2",0.164336165342255,-0.345782770095771,0.184,0.225,1
"Scyl1",0.16654726522805,-0.269141860373096,0.07,0.101,1
"H2-T23",0.17892731117203,-0.278812203177477,0.145,0.188,1
"Mvp",0.186338195440679,-0.259544255610853,0.184,0.225,1
"Snrpb",0.192610790018788,-0.267143327066474,0.401,0.42,1
"Txndc5",0.197350575990205,-0.277789880093571,0.072,0.101,1
